Police Department,Requires De-Escalation,"(Policy Language) Requires De-Escalation: Does the policy require officers to de-escalate situations, when possible?",Bans Chokeholds and Strangleholds,"(Policy Language) Bans Chokeholds and Strangleholds: Are chokeholds and strangleholds (including carotid restraints) explicitly prohibited, except in situations where deadly force is authorized?",Duty to Intervene,(Policy Language) Duty to Intervene: Are officers required to intervene when witnessing another officer using excessive force?,Requires Warning Before Shooting,"(Policy Language) Requires Warning Before Shooting: Are officers required to give a verbal warning, when possible, before shooting someone?",Restricts Shooting at Moving Vehicles,(Policy Language) Restricts Shooting at Moving Vehicles: Are officers prohibited from shooting at people in moving vehicles unless the subject presents a separate deadly threat other than the vehicle itself?,Requires Comprehensive Reporting,"(Policy Language) Requires Comprehensive Reporting: Are all uses of force required to be reported, including the pointing of a firearm at a civilian?",Requires Exhaust All Other Means Before Shooting,(Policy Language) Requires Exhaust All Other Means Before Shooting: Are officers required to exhaust all other reasonable alternatives before resorting to deadly force?,Has Use of Force Continuum,"(Policy Language) Has Use of Force Continuum: Is a Force Continuum or Matrix included in the Policy, defining the types of force/weapons that can be used to respond to specific types of resistance?",Year of most recent policy,Total Population,Updated Since 2016,Year of most recent policy,Requires De-Escalation New,Use of Force Continuum New,Ban Chokeholds and Strangleholds New,Require Warning Before Shooting New,Ban Shooting at Moving Vehicles New,Exhaust All Alternatives New,Duty to Intervene New,Comprehensive Reporting New
Memphis,0,No. Policy does not require officers to use de-escalation whenever possible.,1,"Yes. New policy ban use of chokeholds and carotid restraints, except in circumstances where deadly force is authorized.",1,"Yes. Policy states ""Any member who directly observes another member engaged in dangerous or criminal conduct or abuse of a subject shall take reasonable action to intervene. A member shall immediately report to the Department any violation of policies and regulations or any other improper conduct which is contrary to the policy, order or directives of the Department. For sworn employees this reporting requirement also applies to allegations of uses of force not yet reported.""",1,"Yes. Policy states ""Where feasible, the officer has identified himself/herself as a police officer and given warning such as, STOP--POLICE--I'LL SHOOT, that deadly force is about to be used unless flight ceases""",0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it and does not state that a threat other than the vehicle itself must be present. ""From or at any moving vehicle, except in a case where an officer has probable cause to believe that the suspect committed a violent felony and the poses a direct threat of serious bodily injury or death to other persons if not immediately apprehended [If the officer is in the path of the vehicle, the officer's first responsibility, if possible, is to move from the path of the oncoming vehicle, as shooting the driver of a moving vehicle raises the danger from an uncontrolled vehicle]""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes.Policy states ""Officers shall use only the NECESSARY amount of force that is consistent with the accomplishment of their duties, and must exhaust every other reasonable means of prevention, apprehension, or defense before resorting to the use of deadly force (if the situation allows time for this). (1.3.2)""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2013,652456,1,2020,no,yes (pre-launch),yes (post-launch),yes (pre-launch),no,yes (pre-launch),yes (post-launch),no
Mesa,0,No. Policy does not require officers to use de-escalation whenever possible.,0,No. Strangle/carotid holds are banned but chokeholds are not.,0,This city is currently reviewing the adoption of a Duty to Intervene policy.,1,"Yes. Policy states ""Whenever practical and reasonable, officers should verbally warn subjects of the officer's intent to deploy firearm. Do not place self, or others, in jeopardy in order to deliver such warnings.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2016,439041,0,2016,no,yes (pre-launch),no,yes (pre-launch),under review,no,under review,no
Miami,1,"Yes. Policy states ""1.4.1.1 DE-ESCALATION: An officer shall use de-escalation techniques and other alternatives to
higher levels of force consistent with training whenever possible and appropriate before resorting
to force and to reduce the need for force. Whenever possible and when such delay will not
compromise the safety of the officer or another and will not result in the destruction of evidence,
escape of a subject, or commission of the crime, an officer shall allow an individual time and
opportunity to submit to verbal commands before force is used.""",1,"Yes. Policy states ""1.5.1.22 Police officers are prohibited from utilizing the Lateral Vascular Neck Restraint (LVNR),
chokehold, neck hold, and/or any other restraint that restricts free movement of the neck or head
or restricts an individualÃ•s ability to breath.""",1,"Yes. Policy states ""1.1.3 Duty to Intervene: At the scene of a police incident, many officers of the department may
be present and some officers may not be directly involved in taking police actions. However, this
does not relieve any officer present of the obligation to ensure that the requirements of the law
and the Department regulations are complied with. Officers are required to maintain control or
intervene if the use of force against a subject clearly becomes excessive. Failure to do so may
result in both criminal and civil liability. EXCESSIVE FORCE WILL NOT BE TOLERATED.""",1,"Yes. Policy states ""Where feasible, and consistent with personal safety, some warning, such as POLICE-DON'T-MOVE should be given.""",1,"Yes. Policy states ""a. Firearms shall not be discharged at a moving vehicle unless an officer reasonably believes that a person in the vehicle is immediately threatening the officer or another person with deadly force, or reasonably believes that an occupant is using the vehicle in a manner which poses an imminent threat of death or serious physical injury to the officer or to another person, and there is no reasonable avenue of escape.b. The moving vehicle itself shall not presumptively constitute a threat that justifies an officerÃ•s use of deadly force. An officer threatened by an oncoming vehicle make all reasonable efforts, if possible, to move out of its path instead of discharging a firearm at it or any of its occupants. Officers shall not intentionally place themselves in the path of a moving vehicle.c. Officers shall not unreasonably place themselves in a position where a threat of imminent danger of death or serious physical injury is created when attempting to approach, pursue and/or stop a motor vehicle",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""Use of Force Generally- ""Minimum Necessary Force"": It is the policy of the Miami Police Department that officers shall use only the minimum amount of force that is necessary to effect an arrest, apprehension, or physically control a violent or resisting person...If appropriate, officers should employ non-lethal alternatives prior to utilizing deadly force...Police Officers shall not unreasonably place themselves in a position where a threat of imminent danger of death or serious physical injury is created when attempting to approach , pursue, and/or stop a motor vehicle or armed subject.""

1.1.2 Deadly Force: The most serious act in which a police officer can engage is the use of deadly
force. The authority to carry and use firearms in the course of public service is an enormous
responsibility. Respect for human life requires that, in all cases, deadly force be used as a last
resort, and then only to protect an officer or another person from imminent danger of death or
serious physical injury. Officers should use only the minimal amount of force necessary to protect
human life. Where feasible, and consistent with personal safety, some warning, such as
Ã’POLICE-DON'T MOVE,Ã“ should be given. If appropriate, officers should employ non-lethal
alternatives prior to utilizing deadly force. Deadly force is never justified in the defense of property.
Above all, the safety of the public and officers must be the overriding concern whenever the use
of deadly force is considered.

LAST RESORT: Last resort means that all practical methods available to the officer to avoid using
deadly force have been exhausted. Depending on the tactical situation, these methods may
include verbal commands (i.e., Ã’STOP POLICE, OR IÃ•LL SHOOTÃ“) foot pursuit, using a lesser
level of necessary force, establishing a perimeter, etc., when these means can be accomplished
without endangering the officer or the public.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2016,399457,0,2016,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),no
Milwaukee,0,No. Policy does not require officers to use de-escalation whenever possible.,0,This city is currently reviewing/considering adopting a policy that would ban chokeholds and strangle/carotid holds.,1,"Yes. Policy states ""460.20 DUTY TO INTERVENE
Any officer who personally observes another officer using force, which the observing officer believes to be beyond that which is objectively reasonable under the circumstances, shall reasonably attempt to intervene to prevent the use of such excessive force, if the observing officer is in a position to do so, and if any such intervention does not jeopardize safety. Any such intervening officer shall promptly report their observations, along with his/her own intervening actions to a supervisor. A failure to intervene in any unreasonable use of force, when there is an opportunity to do so, demonstrates a lack of courage, and a violation of the Code of Conduct.""",1,"Yes. Policy states ""When feasible, a verbal warning should be given prior to the use of force likely to cause great bodily harm or death.""",0,"No. Does not limit shooting at moving vehicles to situations where deadly force is being used against others by means other than the vehicle. 
""A police member shall not discharge a firearm at the driver or occupant(s) of a moving vehicle, or the vehicle itself, unless deadly physical force is being used against the police member or another person by means other than a moving vehicle, or, the moving vehicle poses an imminent and ongoing threat of substantial physical harm to the police member or another person from which there is no reasonable means to escape, and the risks are outweighed by the need to use deadly physical force. Once the threat of the moving vehicle ceases, a police member shall not discharge his or her firearm at the vehicle.""",0,"This city is currently reviewing/considering adopting comprehensive reporting, which includes required reporting for when an officer aims a firearm at someone.",0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,594833,0,2015,no,yes (pre-launch),under review,yes (pre-launch),no,no,yes (pre-launch),under review
Minneapolis,1,"Yes. Policy states ""De-escalation
Whenever reasonable according to MPD policies and training, officers shall use de-escalation tactics to gain voluntary compliance and seek to avoid or minimize use of physical force. (06/01/12) (07/28/16)

1. When safe and feasible, officers shall:

a. Attempt to slow down or stabilize the situation so that more time, options and resources are available.

i. Mitigating the immediacy of threat gives officers more time to call additional officers or specialty units and to use other resources.

ii. The number of officers on scene may make more force options available and may help reduce overall force used.

b. Consider whether a subjectÃ„Æ’Ãƒï¿½s lack of compliance is a deliberate attempt to resist or an inability to comply based on factors including, but not limited to:

_ Medical conditions
_ Mental impairment
_ Developmental disability
_ Physical limitation
_ Language barrier
_ Influence of drug or alcohol use
_ Behavioral crisis

Such consideration, when time and circumstances reasonably permit, shall then be balanced against incident facts when deciding which tactical options are the most appropriate to resolve the situation safely.""",1,"Yes. New policy states neck restraints and choke holds are prohibited, and instructors are prohibited from teaching the use of neck restraints or choke holds.",1,"Yes. Policy states ""5-303.01 DUTY TO INTERVENE (07/28/16)

A. Sworn employees have an obligation to protect the public and other employees.

B. It shall be the duty of every sworn employee present at any scene where physical force is being applied to either stop or attempt to stop another sworn employee when force is being inappropriately applied or is no longer required.""",1,"Yes. Policy states ""As an alternative and/or the precursor to the actual use of force, MPD officers shall consider verbally announcing their intent to use force, including displaying an authorized weapon as a threat of force, when reasonable under the circumstances. The threatened use of force shall only occur in situations that an officer reasonably believes may result in the authorized use of force. This policy shall not be construed to authorize unnecessarily harsh language."" (08/17/07) (07/28/16)",0,No. Policy does not limit shooting at moving vehicles to only those situations where deadly force is being used against others by means other than the vehicle. Does not prohibit officers from firing at a vehicle for the sole purpose to of disabling it.,0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,Unknown,382578,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),yes (pre-launch),no,no,yes (pre-launch),no
Nashville,0,This city is currently reviewing/considering adopting a required de-escalation policy.,0,This city is currently reviewing/considering adopting a policy that would ban chokeholds and strangle/carotid holds.,0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,1,"Yes. Policy states ""Where feasible, the employee has identified himself/herself as a police employee and given warning such as, STOP-POLICE-I'LL-SHOOT that deadly force is about to be used unless flight ceases; 

AND If all other means of apprehension available to the employee under the attendant circumstances have been exhausted.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""Authorized employees are permitted to use only that force which is reasonable and necessary under the particular circumstances to protect themselves or others from bodily injury, and only after other reasonable alternatives have been exhausted or it is determined that such alternative action(s) would be ineffective under the circumstances.""
""11.10.130 Use of Deadly Force to Effect an Arrest
Authorized employees may use deadly force to effect the arrest of a fleeing felon only when:
A. The employee has probable cause to believe the individual to be arrested has committed a felony involving the infliction or threatened infliction of serious bodily injury; AND
B. The employee has probable cause to believe that the individual to be arrested poses a threat of death or serious bodily injury, either to the employee or to others unless immediately apprehended; AND
C. Where feasible, the employee has identified himself/herself as a police employee and given warning such as, STOPÃ¢â‚¬â€POLICE--I'LL SHOOT, that deadly force is about to be used unless flight ceases; AND
D. If all other means of apprehension available to the employee under the attendant circumstances have been exhausted.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,Unknown,601222,0,Unknown,under review,yes (pre-launch),under review,yes (pre-launch),under review,yes (pre-launch),no,no
New Orleans,1,"Yes. Policy states ""PR300.1 USE OF FORCE PRINCIPLES
Use of force by NOPD officers, regardless of the type of force or weapon used, shall abide
by the following requirements:
(a) Officers shall use advisements, warnings, and verbal persuasion, when possible,
before resorting to force.
(b) Force shall be de-escalated immediately as resistance decreases.
(c) When feasible based on the circumstances, officers will use disengagement; area
containment; surveillance; waiting out a subject; summoning reinforcements; and/or
calling in specialized units, in order to reduce the need for force and increase officer
and civilian safety.
(d) Officers shall allow individuals time to submit to arrest before force is used wherever
possible""
""The decision to resort to force to accomplish a lawful police objective must be reasonable.
Officers shall use advisements, warnings, and verbal persuasion, when possible, before
resorting to force.""",1,"Yes. ""Neck hold - Any of the following types of holds:
-Arm-bar control hold, a hold that inhibits breathing by compression of the airway in the neck
-Carotid restraint hold, a hold that inhibits blood flow by compression of the blood vessels in the neck
-Lateral vascular neck constraint
-A hold with a knee or other object to the back of a prone subject's neck.
A neck hold shall be considered lethal force.""",1,"Yes. Policy states ""300.3 DUTY TO INTERCEDE AND REPORT
Any officer present and observing another officer using force that is clearly beyond that
which is objectively reasonable under the circumstances shall, when in a position to
do so, intercede to prevent the use of unreasonable force. An officer who observes
another employee use any use of force incident shall promptly report these observations
to a supervisor, and officers observing a level 2, 3 or 4 use of force shall write a Force
Statement before the end of shift, which shall be included in the Use of Force Report.""",0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",1,"Yes. Policy states ""300.5.1 SHOOTING AT OR FROM MOVING VEHICLES
Shots fired at or from a moving vehicle are rarely effective. Officers shall not discharge a
firearm from a moving vehicle or at a moving vehicle unless the occupants of the vehicle are
using deadly force, other than the vehicle itself, against the officer or another person, and
such action is necessary for self defense or to protect the other person; shall not intentionally
place themselves in the path of, or reach inside, a moving vehicle; and, where possible,
shall attempt to move out of the path of a moving vehicle before discharging their weapon.
Officers should not shoot at any part of a vehicle in an attempt to disable the vehicle.""",1,"Yes. Policy states ""(i) Unholstering a firearm and pointing it at a person constitutes a use of force, and shall accordingly be done only as objectively reasonable to accomplish a lawful police objective.""
""PR300.4 LEVELS OF FORCE
Force options are grouped in the following four (4) force levels for reporting and investigating purposes only:
PR300.4.1 LEVEL 1
Level-1 uses of force include pointing a firearm at a person and hand control or escort
techniques (e.g., elbow grip, wrist grip, or shoulder grip) applied as pressure point
compliance techniques or that result in injury or complaint of injury.""",0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,343829,0,2015,yes (pre-launch),yes (pre-launch),yes (pre-launch),no,yes (pre-launch),no,yes (pre-launch),yes (pre-launch)
New York,1,"Yes. Policy states ""When appropriate and consistent with personal safety, members of the service will use de-escalation techniques to safely gain voluntary compliance from a subject to reduce or eliminate the necessity to use force.""",1,"On June 12th 2020, Governor Cuomo signed into law the following ""Establishes the crime of aggravated strangulation for police officers or peace officers where such officer commits the crime of criminal obstruction or breathing or blood circulation, or uses a chokehold or similar restraint, and causes serious physical injury or death.""",1,"Yes. Policy states ""Failure to intervene in the use of excessive force, or report excessive force, or failure to request or to ensure timely medical treatment for an individual is serious misconduct that may result in criminal and civil liability and will result in Department discipline, up to and including dismissal. If a member of the service becomes aware of the use of excessive force or failure to request or to ensure timely medical treatment for an individual, the member must report such misconduct to the Internal Affairs Bureau Command Center. This report can be made anonymously.""",0,"No. No requirement in the NYPD Patrol Guide to issue a verbal warning prior to using deadly force. Officers are, however, required to give a warning before using a taser.",1,"Yes. Policy states ""Officers are banned from shooting at vehicles based solely on the threat of the vehicle. Discharge their firearms at or from a moving vehicle unless deadly physical force is being used against the member of the service or another person present, by means other than a moving vehicle""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2016,8175133,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),no,yes (pre-launch),no,yes (pre-launch),no
Newark,0,"No. Policy states ""A law enforcement officer is under no obligation to retreat or desist when resistance is encountered or threatened.""",1,"Yes. On June 5, 2020, New Jersey Attorney General Gurbir Grewal announced that the state will ban police departments from using chokeholds and similar neck and carotid restraints.",1,"Yes. Policy states ""Members of the Department are required to maintain control or intervene if the use of force against a subject becomes excessive.""",1,"Yes. Policy states ""If feasible, a law enforcement officer should identify himself/herself and state his/her intention to shoot before using the firearm.""",0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it, does not state that a threat other than the vehicle itself must be present and that officers must make every attempt to move out of the path of the vehicle. ""Police officers shall not discharge their weapons at a moving vehicle unless it is absolutely necessary to do so to protect against an imminent threat to the life of the officer or others.""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""It is the policy of the Newark Police Department to limit the use of force by its members to those situations where it is clearly necessary. All officers are charged with the responsibility of using minimum force necessary to affect a lawful arrest.""
""Officers' use of firearms, therefore, shall never be considered routine and is permissible only in defense of life or to prevent serious bodily injury to the officer or others and then only after all alternative means have been exhausted."" 
""an alternative to the use of deadly force shall be used, if the officer reasonably believes it will avert the imminent danger at no increased risk to the officer or another person.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2013,277140,1,2020,no,yes (pre-launch),yes (post-launch),yes (pre-launch),no,yes (pre-launch),yes (pre-launch),no
Norfolk,1,"Yes. Policy states ""Safe de-escalation of the situation should be the ultimate goal of each officer responding to a potentially violent incident. When reasonable, considering the totality of the circumstances, officers should use all the information available to them at the time to evaluate the incident. The responding officers should assess the risks and coordinate the appropriate resources necessary to facilitate an outcome that involves the minimal objectively reasonable use of force while being mindful of the sanctity of life of all involved. Supervisors should make every effort possible to respond to a scene where use of force is probable.""",0,"Virginia legislators are currently reviewing a police reform package that would ban chokeholds and carotid holds statewide, to be reviewed on 8/18/20.",1,"Yes. Policy states ""Any officer, regardless of rank, present and observing another officer using force that is clearly other than objectively reasonable given the situation shall safely intercede to end and prevent further excessive force. Officers will immediately report these observations to a supervisor.""",0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,242803,0,2015,yes (pre-launch),yes (pre-launch),under review,no,under review,no,yes (pre-launch),no
North Las Vegas,0,No. Policy does not require officers to use de-escalation whenever possible.,1,"Yes. Statewide law prohibits the use of neck restraints that restrict airflow or blood flow to the head, except in cases where deadly force is warranted.",1,Yes. Statewide Duty to Intervene policy adopted on 8/06/20,0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,No. Policy does not outline a comprehensive ban on shooting at moving vehicles.,0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""Officers will use only that amount of force which is reasonable and necessary to overcome resistance, effect an arrest, prevent escape, subdue an individual offender, restore order to a disruptive group, protect the public, protect other lives when other available measures are insufficient, or accomplish lawful objectives.""",0,No use of force continuum or matrix found in Police Department Use of Force Policy,2005,216961,1,2020,no,no,yes (post-launch),no,no,yes (pre-launch),yes (post-launch),no
Oakland,1,"Yes. Policy states ""Members are required to de-escalate the force when the member reasonably believes a lesser level or no further force is appropriate.""
""To the extent possible and without ever compromising safety, members are required to use verbal commands to accomplish the police objective before resorting to physical force. Members shall consider the possibility of any language barriers, noise, other distractions, or disabilities which may impair or frustrate the members effort to courteously and clearly communicate with the person.""",1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""Members shall intervene and prevent or stop the use of unreasonable force by other members.""",0,"This city is currently reviewing the adoption of a policy that would require officers to issue a verbal warning prior to resorting to deadly force, where feasible.",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",1,"Yes. Policy states ""The intentional pointing of a firearm at another person is a use of force"" and is reportable.",1,"Yes. Policy states ""Deadly force only when: Other reasonably known and available means of apprehending the person have failed, are inadequate or are immediately unavailable.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2013,390724,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),under review,under review,yes (pre-launch),yes (pre-launch),yes (pre-launch)
Oklahoma City,1,"Yes. Use of Force policy requires officers to attempt to de-escalate a situation, when feasible.",1,"Yes. New policy states ""The use of any choke hold and/or neck restraint is not and will not be authorized by our Department as an approved custody and/or control tactic. Officers are prohibited from applying any chokehold or restraint technique to the neck or throat area of persons they encounter.""",1,Yes. New policy currently requires officers to intervene when witnessing a fellow officer,1,"Yes. Policy states ""If feasible, a warning should be given prior to the use of deadly force.""",0,"No. Does not limit shooting at moving vehicles to situations where deadly force is being used against others by means other than the vehicle. 
""Officers may discharge firearms at a moving vehicle only as a last resort when officers have probable cause to believe such use of force is necessary to prevent the danger of death or seriously bodily harm.""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""Officers shall exhaust all other reasonable means prior to resorting to the use of firearms.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2020,579999,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),yes (pre-launch),no,yes (pre-launch),yes (pre-launch),no
Omaha,0,This city is currently reviewing/considering adopting a required de-escalation policy.,0,"This city is currently reviewing/considering banning police from using chokeholds, hogtying and other methods of restraint that would place weight on an individualÃ•s head, face, neck, chest or back. Introduced by Councilman Kenyatta Johnson.",1,Yes. Policy requires officers to intervene when witnessing excessive force by another officer.,1,"Yes. Policy states ""Before using a firearm in defense of self or others or to affect an arrest or prevent an escape, police officers will give loud verbal commands, if possible.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",0,"This city is currently reviewing/considering adopting comprehensive reporting, which includes required reporting for when an officer aims a firearm at someone.",0,This city is currently reviewing/considering adopting a policy that requires officer exhaust all means before resorting to deadly force.,1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,Unknown,408958,1,2020,under review,yes (pre-launch),under review,yes (pre-launch),under review,under review,yes (post-launch),under review
Orlando,0,No. Policy does not require officers to use de-escalation whenever possible.,0,No. Policy does not ban chokeholds or strangle/carotid holds.,1,"Yes. Policy states ""It shall be the duty of every employee present at any scene where force is being applied, to either stop or attempt to stop another employee when force is inappropriately used and/or no longer required. Officers who witness inappropriate or excessive force have a duty to report violations immediately to a supervisor or Internal Affairs.""",0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",1,"Yes. Policy states ""Members are prohibited from discharging their firearms at a moving vehicle unless a person in the vehicle
is immediately threatening the officer or another person with deadly force by means other than the vehicle.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2016,238300,0,2016,no,yes (pre-launch),no,no,yes (pre-launch),no,yes (pre-launch),no
Philadelphia,1,"Yes. Policy states ""10.1.3.A: To always attempt to de-escalate any situation where force may become necessary. In the event force becomes unavoidable, to use only the minimal amount of force necessary to overcome an immediate threat or to effectuate an arrest.""
",1,"Yes. Policy categorically bans chokeholds and strangleholds, ""3: Officers responding to any incident that may require the use of force, WILL NOT:
5. Use prohibited neck restraints (i.e., choke holds and _sleeper holds). This
will include any incident where an individual attempts to ingest narcotics or other evidence. They will be taken immediately to the nearest hospital.
(P.L.E.A.C. 1.3.10 f)""",1,"Yes. Policy states "" 2.D: Though many officers may be at the scene of a police incident where force is being used, some officers may not be directly involved in taking police action. As officers, we have an obligation to protect the public and other officers. Therefore, it shall be the duty of every officer present at any scene where force is being applied to either stop or attempt to stop another officer when force is inappropriately used and/or no longer required. Your actions will both protect the officer from civil or criminal liability and the civilian from serious injury.
F. Officers who witness inappropriate or excessive force have a duty to report such violations to a supervisor and Internal Affairs.""",1,"Yes. Policy states ""(Firearms Policy) 10.1.1.D: When feasible under the circumstances, police officers will give the suspect a verbal warning before using deadly force.""",1,"Yes. Policy states ""0.1.4.H. Police officers shall not discharge their firearms AT a vehicle unless a person in the vehicle is immediately threatening the officer or another person with deadly force by means other than the vehicle (e.g., officers or civilians are being fired upon by the
occupants of the vehicle).
1. A moving vehicle alone shall not presumptively constitute a threat that justifies an officer's use of deadly force.
2. Officers shall not move into or remain in the path of a moving vehicle. Moving into or remaining in the path of a moving vehicle, whether deliberate or inadvertent, SHALL NOT be justification for discharging a firearm at the vehicle
or any of its occupants. An officer in the path of an approaching vehicle shall attempt to move to a position of safety rather than discharging a firearm at the vehicle or any of the occupants of the vehicle.""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""The application of deadly force is a measure to be employed only in the most extreme circumstances after all lesser means of force have failed or could not be reasonably employed.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2014,1526006,0,2014,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),no
Phoenix,0,No. Policy does not require officers to use de-escalation whenever possible.,1,"Yes. Phoenix's police chief, Jeri Williams, announced Tuesday (06/09) that the department has banned the use choke holds and neck restraints .",1,"Yes. Policy states ""3.C: All sworn employees will intervene, if a reasonable opportunity exists, when they know or should know another employee is using unreasonable force.
-All sworn employees will immediately report excessive force verbally to a supervisor.""",1,"Yes. Policy states ""H.1: When the shooting of a subject appears imminent, employees will, if practical, issue a verbal warning.""",0,"No. Does not limit shooting at moving vehicles to situations where deadly force is being used against others by means other than the vehicle. 
H.1: Weapons may be discharged at the driver or other occupant of a moving vehicle only when the officer has probable cause to believe the subject poses an immediate danger of death or serious physical injury to the officer or others, and the use of deadly force does not create a danger to the public that outweighs the benefits of its use.
Employees will not deliberately place themselves in the path of a moving vehicle or one capable of immediate movement.
* This is generally considered tactically unsound unless executed as part of a tactical plan intended to enhance safety.
* This is not intended to prevent employees from moving in front of or around vehicles during the execution of routine traffic duties, such as directing traffic.",1,Yes. Policy states officers are required to report all uses of force including when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2013,1445632,1,2020,no,yes (pre-launch),yes (post-launch),yes (pre-launch),no,no,yes (pre-launch),yes (pre-launch)
